Epoch,Train_Loss,Valid_Loss
1,64.17148674858942,41.493764877319336
2,21.586285961998833,6.679176012674968
3,8.584685431586372,11.689074834187826
4,8.93779632780287,6.254580656687419
5,6.161086400349935,7.1241230964660645
6,6.393994649251302,5.437493721644084
7,5.842634359995524,5.748124440511067
8,5.709130499098036,5.841344038645427
9,5.531881173451741,5.989912192026774
10,5.459488179948595,5.0756049156188965
11,5.300508446163601,5.32454792658488
12,5.264382203420003,5.45729939142863
13,5.169581625196669,5.236152331034343
14,5.047259489695231,5.323232332865397
15,5.001155588361952,4.557971795399983
16,4.946460882822673,4.882725079854329
17,4.9762917094760475,5.750950177510579
18,4.885237481858995,4.909657955169678
19,4.766344732708401,5.113862832387288
20,4.857556713951959,5.129921277364095
21,4.702762550777859,4.4535713990529375
22,4.6860617531670465,4.366523106892903
23,4.625914414723714,4.272227684656779
24,4.557986365424262,4.146344741185506
25,4.4843982855478925,4.971771081288655
26,4.47259325451321,4.510591983795166
27,4.512053489685059,4.346606890360515
28,4.39200152291192,4.9734236399332685
29,4.244034767150879,3.908243497212728
30,4.270893918143378,4.6659166018168134
31,4.175217946370442,4.431873639424642
32,4.179471916622585,4.347971757253011
33,4.122645378112793,4.7164928913116455
34,4.108504242367214,3.9951906204223633
35,3.9963863690694175,4.437913099924724
36,3.931330839792887,5.469120422999064
37,3.945674101511637,4.385034561157227
38,3.827850898106893,3.5338037808736167
39,3.7652317682902017,3.8320937156677246
40,3.8180461724599204,3.747065464655558
41,3.744694047504001,4.0185941855112715
42,3.703508641984728,3.8140403429667153
43,3.5731768078274198,3.6751862366994223
44,3.6089080704583063,3.827936808268229
45,3.5157447391086154,3.746968905131022
46,3.4229231675465903,3.7375946839650473
47,3.4520384205712213,3.7887880007425943
48,3.3519294526841907,3.454012076059977
49,3.332555241054959,3.38454008102417
50,3.305345482296414,3.454134225845337
51,3.314574639002482,3.160468339920044
52,3.2270490063561335,3.4081377188364663
53,3.165129608578152,2.9458417892456055
54,3.1215088897281222,3.021799643834432
55,3.1075721051957874,3.0046983559926352
56,3.0092401239607067,3.1357242266337075
57,2.988747755686442,2.9861554304758706
58,2.9398236009809704,3.067495584487915
59,2.891973230573866,2.789381424585978
60,2.9024835692511664,3.0143496990203857
61,2.8169314331478543,2.5771462122599282
62,2.8120816548665366,3.411524772644043
63,2.7720310952928333,3.057737429936727
64,2.818325572543674,2.8795464833577475
65,2.6959071689181857,2.8551218509674072
66,2.6697257889641657,2.9843390782674155
67,2.634368790520562,2.6902910073598227
68,2.594691197077433,2.5478156407674155
69,2.618242952558729,3.843480030695597
70,2.6071421835157604,2.56254776318868
71,2.51522598001692,2.740558306376139
72,2.5431114302741156,2.6315563519795737
73,2.5265288088056774,2.4926164944966636
74,2.455448614226447,3.2075889110565186
75,2.4915529754426746,3.494314352671305
76,2.4450057877434626,2.975489775339762
77,2.3831827375623913,2.885572830835978
78,2.413431273566352,3.4792476495107016
79,2.3654070695241294,3.1796444257100425
80,2.2888181474473743,2.4771103858947754
81,2.3515368832482233,2.5589744249979653
82,2.3095722993214927,2.645111163457235
83,2.298797090848287,2.4603933493296304
84,2.2163478400972156,2.352797587712606
85,2.2747550010681152,2.265671730041504
86,2.2207784122890897,2.8076966206232705
87,2.2330815527174206,2.6758453051249185
88,2.1963414748509726,2.4770354429880777
89,2.199218365881178,2.870069980621338
90,2.1665962272220187,2.228379567464193
91,2.112022942966885,2.5950161616007485
92,2.1534298525916205,2.287026882171631
93,2.1356343825658164,2.36541477839152
94,2.1461168395148382,2.4762240250905356
95,2.1748033364613852,2.44651730855306
96,2.0708380540211997,2.091550588607788
97,2.106793244679769,2.124440550804138
98,2.0929970608817206,2.27130126953125
99,2.060278375943502,2.109719236691793
100,2.049247728453742,2.2769739627838135
101,2.026592969894409,2.0664271910985312
102,2.0261093113157482,1.8748236695925395
103,2.0314251052008734,2.343617836634318
104,1.9947847127914429,2.1316898266474404
105,2.0078071223364935,2.631455977757772
106,1.999782058927748,2.1746405760447183
107,2.040833738115099,2.4350452423095703
108,2.0412726269827948,2.476694027582804
109,2.001721488104926,2.507902463277181
110,2.0078847540749445,1.944216012954712
111,2.007047004169888,2.139768958091736
112,1.9389231999715169,2.486281236012777
113,2.0454319847954645,2.138182441393534
114,1.930634578069051,1.9920849005381267
115,1.9443734221988254,1.9762067000071208
116,1.9511623515023127,2.057782014211019
117,1.9549783733155992,2.4621513287226358
118,1.9581323464711506,2.174610455830892
119,1.9481955766677856,2.517380873362223
120,1.9284927977455988,2.120780905087789
121,1.9829408592647977,2.3088889916737876
122,1.9324034319983587,2.1967624028523765
123,1.932439645131429,2.0310661792755127
124,1.9533216953277588,2.7469375928243003
125,1.9301174879074097,2.000170946121216
126,1.9376417928271823,2.506367882092794
127,1.9863138463762071,1.9520114262898762
128,1.9274085760116577,2.0479904413223267
129,1.9066486491097345,1.8822000821431477
130,1.9067580832375421,2.7448344230651855
131,1.9235440227720473,2.6396196683247886
132,1.8811088138156467,2.2401748100916543
133,1.982937945259942,2.0600153605143228
134,1.9142236974504259,2.046691099802653
135,1.865812553299798,2.200209140777588
136,1.9258429474300809,1.9412877957026164
137,1.881565531094869,2.1165855725606284
138,1.8900898694992065,2.082626541455587
139,1.9045935604307387,1.9491855303446453
140,1.8637156089146931,2.8179334004720054
141,1.8504103422164917,2.140730539957682
142,1.86618173122406,1.910940408706665
143,1.8564523326026068,2.0994986295700073
144,1.8346679475572374,1.991426666577657
145,1.8820513751771715,2.359415650367737
146,1.8821796576182048,1.8676796754201253
147,1.838457981745402,2.435739437739054
148,1.848166863123576,2.165091355641683
149,1.853754374716017,2.0216195980707803
150,1.836545467376709,2.0081580877304077
151,1.8147632545895047,2.2902186711629233
152,1.8276762962341309,2.1844828923543296
153,1.8381734821531508,2.1761059761047363
154,1.8155658774905734,2.0965450604756675
155,1.8397382762697008,2.2209598223368325
