Epoch,Train_Loss,Valid_loss
1,134.2441635,107.2154643
2,69.89284897,50.81816228
3,48.52988137,39.11615753
4,39.26904339,39.97580973
5,34.36799494,34.5855147
6,32.70194181,34.48962212
7,31.65568055,32.78226471
8,31.01516702,28.5506649
9,30.08281114,29.04649607
10,29.14854346,29.96828016
11,27.2043652,34.42397563
12,30.45873091,30.54488945
13,28.85011482,38.81585821
14,30.49442567,23.63675435
15,22.0875863,21.66337268
16,21.9709195,21.41965675
17,18.88190089,17.4512682
18,19.4507086,16.2923549
19,17.11573696,12.42079512
20,14.42977344,12.41500409
21,12.43203502,10.20743338
22,9.881784545,8.9814442
23,9.420096662,8.194259485
24,9.978582488,11.82471116
25,13.35062377,19.00079536
26,32.19673008,16.04829884
27,22.05673769,33.86096319
28,24.02362018,16.72999732
29,16.1778858,16.05024433
30,13.37304444,12.4236695
31,10.59200573,8.43792963
32,8.708279186,7.70078516
33,7.56797923,9.842721939
34,6.575240877,6.425433477
35,6.459141572,7.366065025
36,8.91261869,5.437812169
37,11.46719366,11.29736805
38,10.14832454,10.1129055
39,7.975100676,5.383468151
40,5.976536963,7.299174945
41,9.587505076,5.585540136
42,6.11812777,5.610444943
43,6.50355604,5.438248952
44,8.779950725,6.1454223
45,5.764032311,5.812331041
46,6.498108917,5.787579377
47,7.870616171,10.59770155
48,6.863154782,5.680972576
49,5.723069615,5.033425172
50,5.277370612,5.393526316
51,7.19016997,5.625199
52,6.342451943,5.306975683
53,5.726367156,5.520253976
54,6.10802963,6.754105568
55,6.32358408,5.419921716
56,6.325568676,8.166534901
57,8.226965374,11.27247842
58,7.179526435,5.135135015
59,5.282557011,4.662838936
60,5.003920343,5.198409081
61,4.969328562,4.486593723
62,5.536900202,7.475502491
63,7.760249615,5.994953314
64,6.103047742,5.73510313
65,6.370131652,4.472854217
66,8.295009454,8.183136463
67,6.750830332,8.688245138
68,6.000787152,10.50691096
69,6.554059294,5.128362974
70,5.601132817,4.22384874
71,5.122657352,4.69518582
72,4.883042388,5.198345502
73,5.054445055,5.556206385
74,4.996065193,4.83419768
75,4.908450974,5.132839441
76,5.017636564,5.345726967
77,6.875046147,6.767800331
78,5.903891775,5.962838968
79,5.157948759,5.418053309
80,5.293333001,4.966776848
81,5.28442404,6.116727511
82,5.476989799,6.831333478
83,5.193512493,5.949165344
84,5.160345766,5.240840912
85,5.099412547,4.99332579
86,4.830551942,5.080784957
87,4.972785738,4.312929312
88,4.769210524,6.108580748
89,5.050960488,5.671483517
90,5.164825651,5.214042187
91,5.270968013,4.616567135
92,5.219178147,4.982976913
93,6.073661168,5.799412727
94,5.140159554,5.276831945
95,4.657177978,6.83161513
96,5.671016958,6.055167357
97,4.793550915,7.216806889
98,5.755108595,7.219587644
99,6.482148886,5.801240921
100,5.543148571,8.520829201
101,6.236351755,6.078161399
102,4.861531417,5.334421794
103,4.698138502,4.510112524
104,5.383312543,6.754723708
105,6.1941949,7.657326698
106,7.0336913,5.351865609
107,5.958748394,9.413526853
108,6.373813391,6.882301013
109,4.959652132,4.949968974
110,4.944163852,10.69898129
111,8.34745619,7.331455231
112,5.800176938,14.91681194
113,7.13826349,6.400865237
114,7.226013078,10.29295254
115,6.733834638,5.340354919
116,5.608766132,6.012498379
117,4.560953352,4.818250497
118,4.795939922,5.61992979
119,4.828901556,5.035487811
120,4.897898065,4.586268107
121,4.641309049,4.248421748
122,4.612125741,6.623586496
123,7.720440918,8.319436073
